retweet_count,favorite_count,verified,botScore,Number of caps ratio,Number of Exclamations,Fake or Not
15,15,0,0.62,0.18478260869565216,0,0
15,34,0,0.62,0.10526315789473684,0,0
9,21,0,0.62,0.15306122448979592,0,0
11,13,0,0.62,0.19047619047619047,0,0
10,20,0,0.62,0.020833333333333332,0,0
13,20,0,0.62,0.13636363636363635,0,0
2,0,0,0.62,0.0784313725490196,0,0
8,9,0,0.62,0.08411214953271028,0,0
13,0,0,0.62,0.11971830985915492,0,0
7,21,0,0.62,0.1,0,0
2,4,0,0.62,0.11570247933884298,0,0
16,13,0,0.62,0.13541666666666666,0,0
20,23,0,0.62,0.14285714285714285,0,0
6,13,0,0.62,0.06474820143884892,0,0
6,24,0,0.62,0.06451612903225806,0,0
4,18,0,0.62,0.18888888888888888,0,0
9,21,0,0.62,0.11711711711711711,0,0
22,36,0,0.62,0.057971014492753624,0,0
24,28,0,0.62,0.14423076923076922,0,0
5,18,0,0.62,0.072992700729927,0,0
5,14,0,0.62,0.10071942446043165,0,0
0,16,0,0.62,0.06306306306306306,0,0
29,64,0,0.62,0.0425531914893617,0,0
25,31,0,0.62,0.11214953271028037,0,0
12,13,0,0.62,0.25675675675675674,0,0
41,74,0,0.62,0.10891089108910891,0,0
30,64,0,0.62,0.06172839506172839,0,0
7,11,0,0.62,0.14285714285714285,0,0
3,17,0,0.62,0.32608695652173914,0,0
7,21,0,0.62,0.02631578947368421,0,0
32,32,0,0.62,0.1827956989247312,0,0
28,18,0,0.62,0.14953271028037382,0,0
31,0,0,0.62,0.09900990099009901,0,0
33,59,0,0.62,0.06557377049180328,0,0
4,12,0,0.62,0.1111111111111111,0,0
18,24,0,0.62,0.06722689075630252,0,0
19,18,0,0.62,0.12962962962962962,0,0
31,56,0,0.62,0.06481481481481481,0,0
14,33,0,0.62,0.1574074074074074,0,0
36,72,0,0.62,0.017241379310344827,0,0
0,4,0,0.62,0.018518518518518517,0,0
15,15,0,0.62,0.16822429906542055,0,0
19,51,0,0.62,0.14285714285714285,0,0
12,16,0,0.62,0.15384615384615385,0,0
17,22,0,0.62,0.1111111111111111,0,0
0,11,0,0.62,0.031746031746031744,0,0
8,24,0,0.62,0.15625,0,0
44,28,0,0.62,0.15217391304347827,0,0
55,41,0,0.62,0.2236842105263158,0,0
58,35,0,0.62,0.1485148514851485,0,0
40,0,0,0.62,0.3157894736842105,0,0
14,25,0,0.62,0.15492957746478872,0,0
36,60,0,0.62,0.35714285714285715,0,0
8,35,0,0.62,0.1568627450980392,0,0
103,0,0,0.62,0.028169014084507043,0,0
14,28,0,0.62,0.21052631578947367,0,0
12,16,0,0.62,0.05925925925925926,0,0
20,23,0,0.62,0.36904761904761907,1,0
11,32,0,0.62,0.0,0,0
46,52,0,0.62,0.17142857142857143,0,0
12,15,0,0.62,0.18309859154929578,0,0
18,18,0,0.62,0.14285714285714285,0,0
12,17,0,0.62,0.11029411764705882,0,0
44,65,0,0.62,0.03389830508474576,1,0
8,12,0,0.62,0.1810344827586207,0,0
8,7,0,0.62,0.09016393442622951,0,0
1,0,0,0.62,0.07547169811320754,0,0
1,7,0,0.62,0.021897810218978103,0,0
14,36,0,0.62,0.16379310344827586,0,0
56,50,0,0.62,0.05714285714285714,0,0
59,82,0,0.62,0.02857142857142857,0,0
69,59,0,0.62,0.01020408163265306,0,0
21,14,0,0.62,0.1346153846153846,0,0
899,0,0,0.62,0.11363636363636363,0,0
40,20,0,0.62,0.1346153846153846,0,0
26,27,0,0.62,0.11029411764705882,0,0
22,0,0,0.62,0.11678832116788321,2,0
33,0,0,0.62,0.21428571428571427,0,0
23,0,0,0.62,0.08064516129032258,0,0
61,57,0,0.62,0.10606060606060606,0,0
29,22,0,0.62,0.1728395061728395,3,0
25,26,0,0.62,0.189873417721519,0,0
5,30,0,0.62,0.09230769230769231,0,0
67,81,0,0.62,0.11594202898550725,0,0
34,28,0,0.62,0.1262135922330097,0,0
51,80,0,0.62,0.22448979591836735,0,0
22,13,0,0.62,0.13559322033898305,0,0
62,0,0,0.62,0.06956521739130435,0,0
19,14,0,0.62,0.2777777777777778,0,0
0,0,0,0.62,0.125,0,0
41,29,0,0.62,0.14285714285714285,0,0
23,51,0,0.62,0.051470588235294115,0,0
5,19,0,0.62,0.0380952380952381,0,0
7,25,0,0.62,0.03076923076923077,0,0
32,33,0,0.62,0.06569343065693431,0,0
12,17,0,0.62,0.07246376811594203,0,0
48,41,0,0.62,0.19298245614035087,0,0
20,32,0,0.62,0.18269230769230768,0,0
16,17,0,0.62,0.14166666666666666,0,0
3,0,0,0.62,0.13380281690140844,0,0
2,10,0,0.62,0.06666666666666667,0,0
25,31,0,0.62,0.16161616161616163,0,0
1,21,0,0.62,0.014084507042253521,0,0
