retweet_count,favorite_count,verified,botScore,Number of caps ratio,Number of Exclamations,Fake or Not
0,1,0,0.25,0.05,0,1
0,0,0,0.25,0.07042253521126761,0,1
0,2,0,0.25,0.058823529411764705,0,1
0,1,0,0.25,0.07092198581560284,0,1
1,1,0,0.25,0.06338028169014084,0,1
0,0,0,0.25,0.12307692307692308,0,1
0,0,0,0.25,0.05172413793103448,0,1
0,0,0,0.25,0.07042253521126761,0,1
0,0,0,0.25,0.09154929577464789,0,1
1,0,0,0.25,0.09401709401709402,0,1
1,3,0,0.25,0.1206896551724138,0,1
0,1,0,0.25,0.029411764705882353,0,1
0,1,0,0.25,0.07692307692307693,0,1
0,1,0,0.25,0.018518518518518517,0,1
0,0,0,0.25,0.05555555555555555,0,1
0,1,0,0.25,0.008928571428571428,0,1
0,1,0,0.25,0.011494252873563218,0,1
1,1,0,0.25,0.016129032258064516,0,1
0,1,0,0.25,0.0761904761904762,0,1
1,3,0,0.25,0.03508771929824561,0,1
0,0,0,0.25,0.047058823529411764,0,1
1,1,0,0.25,0.04225352112676056,0,1
0,1,0,0.25,0.10638297872340426,0,1
0,0,0,0.25,0.08955223880597014,0,1
0,0,0,0.25,0.08450704225352113,0,1
0,1,0,0.25,0.03225806451612903,0,1
0,0,0,0.25,0.1388888888888889,0,1
0,1,0,0.25,0.07692307692307693,0,1
0,0,0,0.25,0.05102040816326531,0,1
0,2,0,0.25,0.17307692307692307,0,1
1,1,0,0.25,0.09523809523809523,0,1
2,0,0,0.25,0.13333333333333333,0,1
0,1,0,0.25,0.0,0,1
0,0,0,0.25,0.043478260869565216,0,1
0,1,0,0.25,0.020833333333333332,0,1
1,1,0,0.25,0.05263157894736842,0,1
0,0,0,0.25,0.11382113821138211,1,1
3,0,0,0.25,0.12280701754385964,0,1
1,1,0,0.25,0.023809523809523808,0,1
2,1,0,0.25,0.08333333333333333,0,1
0,1,0,0.25,0.04918032786885246,0,1
121,0,0,0.25,0.32142857142857145,0,1
2,1,0,0.25,0.0297029702970297,0,1
1,1,0,0.25,0.10526315789473684,0,1
0,2,0,0.25,0.05714285714285714,0,1
0,1,0,0.25,0.061855670103092786,0,1
9,0,0,0.25,0.08450704225352113,0,1
2,2,0,0.25,0.08791208791208792,1,1
3,6,0,0.25,0.07865168539325842,0,1
7,0,0,0.25,0.03676470588235294,0,1
0,1,0,0.25,0.0,0,1
1,2,0,0.25,0.056338028169014086,0,1
0,2,0,0.25,0.06521739130434782,0,1
1,1,0,0.25,0.046511627906976744,0,1
0,1,0,0.25,0.1,0,1
0,0,0,0.25,0.02531645569620253,0,1
1,3,0,0.25,0.036585365853658534,0,1
1,2,0,0.25,0.034482758620689655,0,1
1,3,0,0.25,0.03278688524590164,0,1
0,0,0,0.25,0.07042253521126761,0,1
0,1,0,0.25,0.03529411764705882,0,1
2,0,0,0.25,0.19760479041916168,1,1
1,2,0,0.25,0.0641025641025641,1,1
1,2,0,0.25,0.4473684210526316,0,1
0,3,0,0.25,0.06557377049180328,0,1
0,1,0,0.25,0.08653846153846154,0,1
1,0,0,0.25,0.4090909090909091,0,1
0,1,0,0.25,0.07317073170731707,0,1
